"Registration Number","Registration Date","Name","Business Name","Address 1","Address 2","City","State","Zip"
"6723","09/06/2019","Neale Creek, LLC","","11 E Lenox Street","","Chevy Chase","MD","20815"
"6722","09/16/2019","Sefardi Consulting","","1435 Cotton Street","","Reading ","PA","19602"
"6719","09/05/2019","Reyes, Nelly F.","","34 Dora Street","","Harrington Park","NJ","07640"
"6707","08/15/2019","Alexandria Group International LLC","","4115 S Hicks Street","","Lawrenceville","VA","23868"
"6699","07/09/2019","Pilot Rock Global Strategies LLC","","10823 Littleford Lane","","Kensington","MD","20895"
"6698","07/08/2019","Teneo Strategy LLC","","280 Park Avenue","4th Floor","New York","NY","10017"
"6694","06/21/2019","RM Broadcasting, LLC","","101 Waters Edge Drive","","Jupiter","FL","33477"
"6688","06/11/2019","Morris Global Strategies LLC","","113 Murfreesboro Road","Suite 106-262","Franklin","TN","37064"
"6686","05/29/2019","McLarty Inbound, LLC","","900 17th Street, NW","Suite 800","Washington","DC","20006"
"6683","05/21/2019","Manatos & Manatos (through the National Coordinated Effort of Hellenes - CEH)","","1100 New Hampshire Avenue, NW","","Washington","DC","20037"
"6682","05/19/2019","Linden Government Solutions, LLC","","5120 Woodway Drive","Suite 5004","Houston","TX","77056"
"6676","05/09/2019","Zionist Advocacy Center (TZAC Inc.)","","305 Broadway","Suite 601","New York","NY","10007"
"6673","04/29/2019","Gilliland & McKinney International Counsellors, LLC","","1851 Columbia Road, NW","#405","Washington","DC","20009"
"6672","05/06/2019","McGinnis Lochridge","","1111 W. 6th Street  Bldg. B ","Suite 400","Austin","TX","78703"
"6667","04/18/2019","Gainful Solutions Inc","","1717 Pennsylvania Avenue NW","Suite 1025","Washington","DC","20006"
"6664","04/15/2019","Wiles, Lanny","","5290 Big Island Drive","Unit 1317","Jacksonville","FL","32246"
"6658","04/09/2019","Beacon Policy Advisors LLC","","1701 Pennsylvania Avenue, NW","Suite 200","Washington","DC","20006"
"6656","04/08/2019","Jacobs Global Trade & Compliance LLC","","4134 N. River Street","","McLean","VA","22101"
"6653","03/22/2019","Steptoe & Johnson, LLP","","1330 Connecticut Avenue, NW","","Washington","DC","20036"
"6652","03/18/2019","Zeno Group, Inc.","","130 East Randolph Street","","Chicago","IL","60601"
"6651","03/18/2019","Delegation of Catalonia to the United States of America","","1050 K Street, NW","Suite 325","Washington","DC","20001"
"6645","03/13/2019","NRW.INVEST (NORTH AMERICA) LLC","","150 North Michigan Avenue","Suite 2940","Chicago","IL","60601"
"6639","02/18/2019","AF International, LLC","","8209 Tomlinson Avenue","","Bethesda","MD","20817"
"6636","02/08/2019","Huta, Tomasz","","Kopernika 5, 11-200","","Bartoszyce","",""
"6635","02/11/2019","Barzan Aeronautical LLC","","200 Meeting Street","Suite 305","Charleston","SC","29401"
"6633","08/02/2019","MediaLinks TV, LLC","","1099 New York Avenue, NW","Suite 200","Washington","DC","20001"
"6630","01/28/2019","Shepura, Nathan","","10 Rue du Commerce","","Brussels","",""
"6629","01/24/2019","SST Aerospace, LLC","","Greenville Downtown Airport/Hangar 1","54 Watson Aviation Road","Greenville","SC","29607"
"6628","01/23/2019","Latham & Watkins LLP","","355 South Grand Avenue","Suite 100","Los Angeles","CA","90071"
"6626","01/08/2019","Robert G. Joseph","","301 South Saint Asaph Street","","Alexandria","VA","22314"
"6621","12/21/2018","Media Planning International Corporation","","c/o Havas Creative Group","200 Hudson Street ","New York","NY","10013"
"6614","12/16/2018","National Salvation Front (NAS) Mission USA","","9109 Poplar Bridge Rd","","Minneapolis","MN","55437"
"6609","11/29/2018","Munk Policy & Law PLLC","","1700 H Street, NW","Box 61","Washington","DC","20006"
"6605","10/31/2018","Holly Strategies Incorporated","","825 South Monroe Street","","Arlington","VA","22204"
"6604","10/31/2018","Kobre & Kim LLP","","800 Third Avenue","","New York","NY","10022"
"6603","10/31/2018","Schillings International (USA) LLP","","One World Trade Center","Suite 8500","New York","NY","10007"
"6602","10/19/2018","Corallo Media Strategies, Inc","","520 North Washington Street","","Alexandria","VA","22314"
"6600","10/15/2018","Taylor English Decisions, LLC","","1600 Parkwood Circle ","Suite 200","Atlanta","GA","30339"
"6596","09/27/2018","TRG Advisory Services, LLC","","420 Lexington Avenue","Suite 2520","New York","NY","10170"
"6595","09/27/2018","Bayaziddi, Salah ","","1250 Connecticut Ave NW, Suite #700","","Washington","DC","20036"
"6594","09/24/2018","Barnes & Thornburg LLP","","11 South Meridian Street","","Indianapolis","IN","46204"
"6584","08/31/2018","Wilson Global Communications, LLC","","1701 Pennsylvania Avenue, NW","Second Floor","Washington","DC","20006"
"6582","08/22/2018","APCO Worldwide LLC","","1299 Pennsylvania Avenue, NW","Suite 300","Washington","DC","20004"
"6579","07/31/2018","Butterfield Evans & Associates, LLC","","304 G Street, SE","","Washington","DC","20003"
"6573","07/20/2018","Ott, Bielitzki & O'Neill PLLC","","1629 K Street, NW","Suite 300","Washington","DC","20006"
"6570","07/10/2018","LGND, LLC","","6701 Democracy Blvd","Suite 300","Bethesda","MD","20817"
"6567","07/05/2018","American Defense International, Inc.","","100 New York Avenue, NW","Suite 630","Washington","DC","20005"
"6561","06/01/2018","Blueprint Advisors LLC","","4201 Yuma Street, NW","","Washington","DC","20016"
"6558","05/24/2018","Oliver Group, Inc.","","1750 K Street NW","12th Floor","Washington","DC","20006"
"6554","05/18/2018","RSC Services International LLC","","The Landings","790 Andrews Avenue, #F- 103","Delray Beach","FL","33483-7289"
"6549","04/30/2018","Myriad International Marketing, LLC","","7309 W. 80th Street","Suite 400","Overland Park","KS","66204"
"6545","04/26/2018","Polish Chamber of Commerce in the US","","1200 G Street, NW","Suite 800","Washington","DC","20005"
"6542","04/23/2018","SAACS d/b/a of Independent Agency, LLC","","13263 SW 127 Place","","Miami","FL","33186"
"6540","04/13/2018","ThirdCircle, Inc.","","1111 Penhurst Lane","","Penn Valley","PA","19702"
"6538","03/30/2018","PASS LLC","","1101 King Street","#360","Alexandria ","VA","22314"
"6537","03/29/2018","Lumen8 Advisors, LLC","","9924 Browns Mill Road","","Vienna","VA","22182"
"6535","03/05/2018","Baker, Donelson, Bearman, Caldwell & Berkowitz, P.C.","","165 Madison Avenue","Suite 2000","Memphis","TN","38103"
"6533","03/15/2018","Miller & Chevalier Chartered","","900 16th Street, NW","","Washington","DC","20006"
"6527","02/20/2018","Law Office of David B. Kultgen","","11841 Overlook Pass","","Austin","TX","78738"
"6522","02/10/2018","Forbes Tate Partners LLC","","777 6th Street, NW","8th Floor","Washington","DC","20001"
"6521","11/15/2016","Pakistan Muslim League (Nawaz) USA","","818 Coney Island Avenue","","Brooklyn","NY","11218"
"6518","02/02/2018","Chartwell Strategy Group, LLC","","701 8th Street, NW, Suite 620","","Washington","DC","20001"
"6517","02/02/2018","Husch Blackwell Strategies, LLC","","300 M Street, SE","Suite 402","Washington","DC","20003"
"6516","01/31/2018","U.S. Mission of the Syrian Democratic Council","","800 Maine Avenue, SW ","Suite 200","Washington","DC","20024"
"6510","01/22/2018","Meliora Strategy","","1813 13th Street, NW","Suite 2","Washington","DC","20009"
"6504","12/29/2017","Bullpen Strategy Group, Inc. ","Definers Corp.","1500 Wilson Boulevard, 5th Floor","","Arlington","VA","22209"
"6501","12/21/2017","King & Spalding LLP","","1700 Pennsylvania Avenue, NW","Suite 200","Washington","DC","20006"
"6497","12/08/2017","Iron Bridge Strategies LLC","","5573 Seminary Road","Unit 106","Falls Church","VA","22041"
"6492","11/27/2017","MMGY Global, LLC","","7309 W. 80th Street","#400","Overland Park","KS","66204"
"6491","11/19/2017","Yorktown Solutions, LLC","","601 13th Street, NW","Suite 900 South","Washington","DC","20005"
"6490","11/15/2017","Reston Translator, LLC","","11140 Glade Drive","","Reston","VA","20191"
"6485","11/10/2017","T&R Productions LLC","","1325 G Street, NW","Suite 250","Washington","DC","20005"
"6482","10/31/2017","Benjamin, Gordon Christopher","","30824 Foxchase Drive","","Salisbury","MD","21804"
"6457","08/30/2017","SAPRAC, Inc.","","1717 Pennsylvania Avenue NW","Suite 1025","Washington","DC","20006"
"6449","07/29/2017","StrateVarious LLC","","1721 Laraway Lake Drive SE","","Grand Rapids","MI","49546"
"6438","06/09/2017","Ashcroft Law Firm, LLC","","1100 Main Street","Suite 2710","Kansas City","MO","64105"
"6433","05/24/2017","Quinn & Co. of NY LTD.","","48 W 38th Street, 12th Floor","","New York","NY","10018"
"6422","04/26/2017","S-3 Group","","418 C Street, NE","","Washington","DC","20002"
"6419","04/19/2017","Prism Strategy, Inc.","Prism Group","1333 H Street, NW","Suite 800 E","Washington","DC","20005"
"6412","03/31/2017","Capitol Media Group","","2021 L Street, NW","Suite 101-340","Washington","DC","20036"
"6411","03/26/2017","Vanguard Africa","","1629 K Street, NW","Suite 300","Washington","DC","20006"
"6408","03/14/2017","DiNino Associates, LLC","","800 Maine Avenue, SW","Floor 7","Washington","DC","20024"
"6401","01/20/2017","Cornerstone Government Affairs","","800 Maine Avenue, SW","Floor 7","Washington","DC","20024"
"6399","12/11/2016","Sonoran Policy Group, LLC D/B/A Stryk Global Diplomacy
","","PO Box 25378","","Washington","DC","20027"
"6397","12/01/2016","Overseas Korean Cultural Heritage Foundation, USA","","1500 13th Street, NW","","Washington","DC","20005"
"6396","11/30/2016","CGCN Group","","1307 New York Avenue, NW","6th Floor","Washington","DC","20005"
"6393","11/21/2016","White & Case LLP","","1221 Avenue of the Americas","","New York","NY","10036"
"6391","11/16/2016","McKeon Group, Inc.","","675 North Washington Street","Suite 340","Alexandria","VA","22314"
"6390","11/14/2016","Aramco Affiliated Services Company (AASC)","","Two Allen Center","1200 Smith Street, 36th Floor","Houston","TX","77002"
"6388","10/28/2016","theGroup DC, LLC","","1730 Pennsylvania Avenue, NW","Suite 500","Washington","DC","20006"
"6384","10/26/2016","Hohlt Group Global, LLC","","1455 Pennsylvania Avenue, NW","Suite 1140","Washington","DC","20004"
"6381","09/30/2016","MWW Group, LLC","","One Meadowlands Plaza","","East Rutherford","NJ","07073"
"6379","09/20/2016","S.G.R. LLC Government Relations and Lobbying","","1775 I Street, NW","Suite 410","Washington","DC","20006"
"6377","09/19/2016","Prime Policy Group","","1801 K Street, NW ","Suite 9000","Washington","DC","20006"
"6367","08/10/2016","West Wing Writers, LLC","","1150 Connecticut Avenue, NW","Suite 505","Washington","DC","20036"
"6344","03/25/2016","Livingston Group, LLC","","499 S. Capitol Street, SW","Suite 600","Washington","DC","20003"
"6342","03/21/2016","Brand South Africa","","19 Cliffview Court","","Princeton Junction","NJ","08550"
"6332","12/23/2015","Okinawa Prefecture DC Office, Inc.","","1101 Connecticut Avenue, NW","Suite 450","Washington","DC","20036"
"6331","12/18/2015","K&L Gates, LLP","","210 Sixth Avenue","","Pittsburgh","PA","15222"
"6328","11/19/2015","Capitol Counsel, LLC","","700 13th Street, NW","Suite 200","Washington","DC","20005"
"6325","10/26/2015","Amsterdam & Partners, LLP","","601 Thirteenth Street, NW","Eleventh Floor South","Washington","DC","20005"
"6321","09/30/2015","Cohen, David B.","","P.O. Box 2655","","Redondo Beach","CA","90278"
"6317","09/18/2015","Alignment Government Strategies","","601 Pennsylvania Avenue, NW","South Building, Suite 430","Washington","DC","20004"
"6306","07/20/2015","Lou Hammond & Associates, Inc.","","900 3rd Avenue","Suite 211","New York","NY","10022"
"6305","07/20/2015","Scribe Strategies & Advisors, Inc.","","1050 Connecticut Avenue, NW ","Suite 500","Washington","DC","20036"
"6294","05/16/2015","Greenfield Law, LLC","","11155 Dolfield Boulevard, Suite 200","","Owings Mills","MD","21117"
"6285","03/11/2015","Tricuro, LLC","","1201 Connecticut Avenue, NW","Suite 1000","Washington","DC","20036"
"6280","03/16/2015","Daschle Group, LLC","","901 K Street, NW","Suite 900","Washington","DC","20001"
"6278","03/03/2015","DCI Group AZ, LLC","","2000 K Street NW","Suite 900","Washington","DC","20006"
"6227","06/18/2014","BCW LLC","","1801 K Street, NW","9th Floor","Washington","DC","20006"
"6213","04/09/2014","Policy Agency, LLC","","One New Hamphire Avenue, Suite 125","","Portsmouth","NH","03801"
"6212","03/10/2014","Finn Partners, Inc.","","301 E. 57th Street","","New York","NY","10022"
"6210","03/03/2014","LB International Solutions, LLC","","1318 Riggs Street NW","","Washington","DC","20009"
"6200","12/11/2013","Dickens & Madson Canada Inc.","","c/o Tragen Resources & Logistics","740 Notre Dame Ouest, Suite 1250","Montreal","",""
"6195","11/18/2013","Korea SMEs and Startups Agency USA Office","","1730 Minor Avenue","10th Floor - Suite 1050","Seattle","WA","98101"
"6194","11/08/2013","Parvin, C. Landon","","113 Falcon Drive","","Charlottesville","VA","22901"
"6191","10/29/2013","Jewish Agency - American Section, Inc.","","633 Third Avenue","21st Floor","New York","NY","10017"
"6187","09/06/2013","Taiwan Democratic Progressive Party Mission in the U.S.","","1325 G Street, NW, #500","","Washington","DC","20005"
"6181","08/08/2013","RS Office for Cooperation, Trade and Investment","","1701 Pennsylvania Avenue, NW","Suite 200","Washington","DC","20006"
"6177","08/07/2013","Coyne Public Relations, LLC","","5 Wood Hollow Road","","Parsippany","NJ","07054"
"6171","05/16/2013","National Council of Resistance of Iran - U.S. Representative Office (NCRI-US)","","1747 Pennsylvania Avenue, NW","Suite 1125","Washington","DC","20006"
"6170","05/14/2013","Mercury Public Affairs, LLC","","300 Tingey Street, SE","Suite 202","Washington","DC","20003"
"6168","05/06/2013","CHP Representation to the United States, LLC","","5112 Mac Arthur Blvd","Apartment 211","Washington","DC","20016"
"6162","04/08/2013","Karv Communications, Inc.","","122 East 42nd Street","Suite 2005","New York","NY","10168"
"6161","04/05/2013","Rosemont Associates, LLC","","P.O. Box 216","","Rosemont","NJ","08556-0216"
"6144","12/10/2012","Camstoll Group, LLC","","1112 Montana Avenue","#904","Santa Monica","CA","90403"
"6130","09/05/2012","United Lao Council for Peace, Freedom and Reconstruction (ULCPFR)","","P.O. Box 35","","Pine City","MN","55063"
"6113","07/06/2012","Representative Office in the USA, China Council for the Promotion of International Trade (CCPIT)","","2001 Jefferson Davis Highway","Suite 608","Arlington","VA","22202"
"6091","02/23/2012","Sprague, Esther Marie","","123 Hanover Street","","San Francisco","CA","94112"
"6089","02/15/2012","Nickles Group, LLC","","601 13th Street, NW","Suite 250N","Washington","DC","20005"
"6086","01/12/2012","Western Hemisphere Strategies, LLC","","999 Ponce de Leon Blvd.","Suite 520","Coral Gables","FL","33134"
"6067","10/07/2011","Lowe-Lee, Florence","","1001 Connecticut Avenue, NW","Suite 704","Washington","DC","20036"
"6064","09/19/2011","Portland PR Inc.","","805 15th St NW","Floor 3","Washington","DC","20005"
"6057","08/16/2011","Myrmidon Group, LLC","","53 Saint Mark's Place","#1","New York","NY","10003"
"6018","02/15/2011","Bokhari, Raza","","1717 Arch Street","39th Floor","Philadelphia","PA","19103"
"6015","01/07/2011","Bavarian U.S. Offices for Economic Development, LLC","","80 Pine Street","24th Floor","New York","NY","10005"
"5982","03/22/2010","Thomas Capitol Partners, Inc.","","1050 Connecticut Avenue, NW","Suite 500","Washington","DC","20036"
"5974","02/18/2010","Alsalih, Mark K.","","6624 Bermuda Dunes Drive","","Plano","TX","75093"
"5971","01/11/2010","O'Brien Gentry & Scott, LLC","","201 C Street, SE","","Washington","DC","20003"
"5950","09/08/2009","Chadwick, Kirsten A./Fierce, Isakowitz, & Blalock","","1155 F Street, NW","Suite 950","Washington","DC","20004"
"5931","04/17/2009","Venable, LLP","","600 Massachusetts Ave, NW","","Washington","DC","20001"
"5928","04/10/2009","Nelson Mullins Riley & Scarborough, LLP","","1320 Main Street","17th Floor","Columbia","SC","29201"
"5917","03/09/2009","Kuykendall, Gregory J., PC","","531 South Convent Avenue","","Tucson","AZ","85701"
"5875","06/17/2008","BLJ Worldwide LTD","","1359 Broadway ","Suite 1102","New York","NY","10018"
"5874","07/21/2008","Gephardt Group Government Affairs, LLC","","1667 K Street, NW","Suite 800","Washington","DC","20006"
"5870","06/16/2008","Brownstein Hyatt Farber Schreck, LLP","","410 Seventeenth Street","Suite 2200","Denver","CO","80202-4432"
"5867","06/03/2008","Fratelli Group","","1300 Connecticut Avenue, NW","Suite 950","Washington","DC","20036"
"5860","04/03/2008","Independent Diplomat, Inc.","","246 Fifth Avenue","","New York","NY","10001"
"5840","11/15/2007","Tourist Office for Flanders, Belgium - New York Office","","New York Times Building","620 Eighth Avenue, 38th Floor","New York","NY","10018"
"5839","11/12/2007","Sorini, Samet & Associates, LLC","","540 North Lincoln Street","","Hinsdale","IL","60521"
"5801","04/16/2007","Fleishman-Hillard, Inc.","","200 North Broadway","","St. Louis","MO","63102"
"5788","01/26/2007","KRL International, LLC","","6682 Van Winkle Drive","","Falls Church","VA","22044"
"5783","12/28/2006","Kurdistan Regional Government - Liaison Office - USA","","1532 16th Street, NW","","Washington","DC","20036-1402"
"5765","09/12/2006","Slocum & Boddie, PLLC","","5400 Shanee Rd. ","Suite 300","Alexandria","VA","22312"
"5712","10/03/2005","Greenberg Traurig, LLP","","2101 L Street, NW","Suite 1000","Washington","DC","20037"
"5684","05/17/2005","KBS America, Inc.","","625 South Kingsley Drive","4th Floor","Los Angeles","CA","90005"
"5666","01/31/2005","FGS Global (US) LLC (FKA FGH Holdings LLC)","Finsbury Glover Hering","1025 F Street, NW","9th Floor","Washington","DC","20004"
"5630","07/08/2004","Ravdin, Vivien","","5301 Westbard Cir","# 326","Bethesda","MD","20816"
"5594","11/20/2003","Tourism Ireland Limited","","345 Park Avenue","","New York","NY","10154"
"5490","04/02/2002","LISCR, LLC","","8619 Westwood Center Drive","Suite 300","Vienna","VA","22182"
"5483","03/06/2002","QORVIS LLC","Qorvis MSLGROUP","1201 Connecticut Avenue, NW","Suite 1000","Washington","DC","20036"
"5451","08/03/2001","Hecht, Latham, Spencer & Associates, Inc.","","525 9th Street, NW","Suite 800","Washington","DC","20004"
"5444","07/02/2001","Malaysian Rubber Export Promotion Council (USA)","","3516 International Court, N.W.","","Washington","DC","20008"
"5437","05/30/2001","Orion Strategies LLC","","6331 Western Avenue, NW","","Washington","DC","20015"
"5430","05/10/2001","BGR Government Affairs, LLC","","601 Thirteenth Street, NW     ","Eleventh Floor South","Washington","DC","20005"
"5350","12/10/1999","Malaysian Investment Development Authority","","226 Airport Parkway","Suite 480","San Jose","CA","95110"
"5342","11/12/1999","Office of the Nagorno Karabakh Republic in the USA","","4701 Willard Avenue"," #1407","Chevy Chase","MD","20815"
"5334","10/12/1999","Commonwealth of Dominica Maritime Registry, Inc.","","32 Washington Street","","Fairhaven","MA","02719"
"5321","07/21/1999","Saudi Petroleum International, Inc.","","52 Madison Avenue","","New York","NY","10022"
"5299","02/02/1999","Berliner Corcoran & Rowe, LLP","","1101 17th Street, NW","Suite 1100","Washington","DC","20036"
"5246","03/01/1998","Oliver A. Dulle Jr. & Company","","7711 Bonhomme Avenue","Suite 310","Clayton","MO","63105"
"5198","07/31/1997","Pillsbury Winthrop Shaw Pittman, LLP","","Four Embarcadero Center","22nd Floor","San Francisco","CA","94111-2228"
"5143","12/03/1996","Hai Tian Development U.S.A., Inc.","","136-40 39th Avenue","Suite 508","Flushing","NY","11354"
"5115","06/21/1996","Czech Center, New York","","321 E 73rd Street","","New York","NY","10021"
"5041","08/17/1995","Austrian Trade Commission in the U.S., Southern Region","","3333 Riverwood Parkway, S.E.","Suite 200","Atlanta","GA","30339"
"5006","04/03/1995","Friends of Sinn Fein, Inc.","","1212 Avenue of the Americas ","5th Floor","New York","NY","10036"
"4990","02/06/1995","JWI, LLC","Jefferson Waterman International","700 New Hampshire Avenue, NW","Watergate South, Suite 1019","Washington","DC","20037"
"4909","04/06/1994","Colombian Coffee Federation, Inc.","","140 East 57th Street","","New York","NY","10022"
"4885","01/26/1994","VisitSweden","","655 Third Avenue","18th Floor","New York","NY","10017"
"4860","10/12/1993","Office of the Deputy Commissioner of Maritime Affairs","","39 Broadway","Suite 2020","New York","NY","10006"
"4789","04/07/1993","Ethiopian People's Revolutionary Party","","Post Office Box 73337","","Washington","DC","20056-3337"
"4777","03/12/1993","Development Counsellors International","","215 Park Avenue South","14th Floor","New York","NY","10003"
"4776","03/02/1993","Foley Hoag, LLP","","1717 K Street, N.W.","Suite 1200","Washington","DC","20036"
"4762","02/04/1993","Polish National Tourist Office, New York","","5 Marine View Plaza","Suite 208","Hoboken","NJ","07030"
"4610","01/29/1992","Oromo Liberation Front, North America Office","","806 -B Kennedy Street, NW","","Washington","DC","20011"
"4575","10/04/1991","Malaysian Palm Oil Council (f/k/a American Palm Oil Council)","","1010 Wisconsin Avenue, NW","Suite 307","Washington","DC","20007"
"4533","07/01/1991","International Registries, Inc.","","11495 Commerce Park Drive","","Reston","VA","20191-1506"
"4490","03/26/1991","NHK Cosmomedia America, Inc.","","100 Broadway","15th Floor","New York","NY","10005-1983"
"4450","12/18/1990","Destination New South Wales","","2029 Century Park East","Suite 3150","Los Angeles","CA","90067"
"4419","10/09/1990","Deutsche Telekom, Inc.","","One Rockefeller Plaza","10th Floor","New York","NY","10020"
"4364","04/13/1990","Invest Northern Ireland","","2201 Waukegan Road","Suite 150 South","Bannockburn","IL","60015"
"4274","07/21/1989","Representative of German Industry and Trade","","1130 Connecticut Avenue, NW","Suite 1200","Washington","DC","20036"
"4184","10/13/1988","Saudi Refining, Inc.","","One Allen Center","500 Dallas Street","Houston","TX","77002"
"4069","12/01/1987","JETRO, Atlanta","","5901 Peachtree Dunwoody Rd, ","Suite. B485","Atlanta","GA","30328"
"3988","05/28/1987","Crowell & Moring International, LLC","C&M International, Ltd.                                     ","1001 Pennsylvania Avenue, N.W.","Suite 1275","Washington","DC","20004-2595"
"3911","12/01/1986","IPG DXTRA, Inc","Weber Shandwick","909 Third Ave.","","New York","NY","10022"
"3731","09/13/1985","Sidley Austin LLP","","1501 K Street, N.W.","8th Floor","Washington","DC","20005"
"3718","08/07/1985","Holland & Knight","","800 17th Street, N.W.","Suite 1100","Washington","DC","20006"
"3712","08/05/1985","DLA Piper US LLP","","500 8th Street, NW","","Washington","DC","20004"
"3652","02/28/1985","Taiwan Trade Center New York Inc.","","One Penn Plaza","Suite 2025","New York","NY","10119"
"3634","11/15/1984","Daniel J. Edelman, Inc.","","111 North Canal Street","Suite 1100","Chicago","IL","60606"
"3492","06/24/1983","Akin, Gump, Strauss, Hauer & Feld, LLP","","2001 K Street, NW","","Washington","DC","20006"
"3457","04/19/1983","China Daily Distribution Corporation","","1500 Broadway","Suite 2800","New York","NY","10036"
"3354","04/08/1982","British Virgin Islands Tourist Board","","1 West 34th Street","Suite 302","New York","NY","10001-3011"
"3327","02/01/1982","Korea Economic Institute","","1800 K Street, NW","Suite 1010","Washington","DC","20006"
"3318","12/30/1981","China National Tourist Office","China National Tourist Office                               ","370 Lexington Avenue","Suite 912","New York","NY","10017"
"3301","11/10/1981","Hill and Knowlton Strategies, LLC","","1111 19th Street NW","3rd Floor","Washington","DC","20036"
"3196","02/05/1981","Manufactured Imports and Investment Promotion Organization (MIPRO)","","1225 19th Street, NW","Suite 310","Washington","DC","20036"
"3047","08/09/1979","Foster Garvey PC","","1111 Third Avenue","Suite 3000","Seattle","WA","98101"
"3013","04/17/1979","Scottish Enterprise","Scottish Develoment International and SCTR, Limited","SCTR Ltd British Consulate ","One Broadway 7th Floor","Cambridge","MA","02109"
"2987","12/29/1978","Aruba Tourism Authority","","400 Plaza Drive","Suite 101","Secaucus","NJ","07094"
"2985","12/06/1978","Far East Trade Services, Inc.","Taiwan Trade Center, San Francisco","5201 Great America Parkway","Suite 306","Santa Clara","CA","95054-1122"
"2686","04/23/1976","Korea International Trade Association, Inc.","","460 Park Avenue","Suite 400","New York","NY","10022"
"2668","03/15/1976","St. Lucia Tourist Board","","800 Second Avenue","9th Floor, Suite 910","New York","NY","10017-4504"
"2619","10/16/1975","Representative of the Turkish Republic of Northern Cyprus","","821 First Avenue","Floor 13","New York","NY","10017"
"2614","10/04/1975","Korea National Tourism Organization, New Jersey","","400 Kelby Street","Suite 1602","Fort Lee","NJ","07024"
"2544","10/25/1974","Korea National Tourism Organization, Los Angeles","","5509 Wilshire Boulevard","Suite 201","Los Angeles","CA","90036"
"2526","07/08/1974","Beef + Lamb New Zealand, Ltd.","","6841 Elm Street","#7401","McLean","VA","22106"
"2510","04/17/1974","Malaysia Tourism Promotion Board","","818 West Seventh Street","Suite 970","Los Angeles","CA","90017-3432"
"2500","03/04/1974","Cayman Islands Department of Tourism","","350 5th Avenue ","Suite 4620","New York","NY","10118-1801"
"2438","07/02/1973","Kobe Trade Information Office","","1001 Fourth Avenue","Suite 4310","Seattle","WA","98154"
"2414","03/27/1973","Singapore Tourism Board","","589 5th Avenue","Suite 1702","New York","NY","10017"
"2360","07/26/1972","Jamaica Tourist Board, Florida","","5201 Blue Lagoon Drive","Suite 670","Miami","FL","33126"
"2350","07/03/1972","Japan National Tourism Organization, Los Angeles ","","707 Wilshire Blvd.","Suite 4325","Los Angeles","CA","90017"
"2331","04/17/1972","Malaysian Industrial Development Authority","","875 North Michigan Avenue","Suite 1810","Chicago","IL","60611"
"2329","04/05/1972","India Tourism, New York","","1270 Avenue of the Americas","Suite 303","New York","NY","10020-1700"
"2310","01/27/1972","Bahamas Tourist Office","Bahamas News Bureau                                         ","Ministry of Tourism","Post Office Box N-3701","Nassau","",""
"2278","09/21/1971","World Zionist Organization - American Section, Inc.","","633 Third Avenue","21st Floor","New York","NY","10017"
"2277","09/20/1971","JETRO, Houston","","1221 McKinney Street","Suite 4141","Houston","TX","77010"
"2244","02/18/1971","Hogan Lovells US LLP","","855 Main Street","Suite 200","Redwood City","CA","94063"
"2181","01/19/1970","Hong Kong Trade Development Council, Inc.","","219 East 46th Street","","New York","NY","10017"
"2178","12/19/1969","Tourism Authority of Thailand, Los Angeles","","611 North Larchmont Boulevard","1st Floor","Los Angeles","CA","90004"
"2165","10/09/1969","Squire Patton Boggs, LLP","","2550 M Street, NW","","Washington","DC","20037-1350"
"2110","10/29/1968","Hong Kong Tourism Board","","5901 W CENTURY BLVD. ","SUITE 650","Los Angeles","CA","90045"
"2003","02/02/1967","Singapore Economic Development Board","","55 East 59th Street","Suite 21 B, 21st Floor","New York","NY","10022"
"1897","06/01/1965","Tourism Authority of Thailand, New York","","61 Broadway","Suite 2810","New York","NY","10006"
"1850","02/02/1965","JETRO, Chicago","","1 East Wacker Drive","Suite 3350","Chicago","IL","60601"
"1833","12/14/1964","JETRO, Los Angeles","","777 South Figueroa Street","Suite 3750","Los Angeles","CA","90017-2513"
"1813","11/05/1964","JETRO, San Francisco","","575 Market Street","Suite 2400","San Francisco","CA","94105"
"1793","09/21/1964","Moroccan National Tourist Office","","104 West 40th Street","Suite 1820","New York","NY","10018"
"1787","09/02/1964","Quebec Government Office","","One Rockefeller Plaza","Suite 2600","New York","NY","10020-2102"
"1770","07/10/1964","IDA Ireland","","345 Park Avenue","17th Floor","New York","NY","10154"
"1750","06/04/1964","Arnold & Porter Kaye Scholer LLP","","601 Massachusetts Avenue, NW","","Washington","DC","20001-3743"
"1699","03/14/1964","Office of Tibet","","1228 17th Street, NW","","Washington","DC","20036"
"1643","06/25/1963","JETRO, New York","","565 Fifth Avenue","4th Floor","New York","NY","10017"
"1619","04/17/1963","KOTRA","","460 Park Avenue","14th Floor","New York","NY","10022"
"1032","06/03/1957","Tourism Australia","","2029 Century Park East","Suite 3150","Los Angeles","CA","90067"
"991","12/31/1956","Caribbean Tourism Organization, USA Inc. ","","1321 Upland Drive","PMB: 11540","Houston","",""
"876","03/03/1955","Arab Information Center","","League of Arab States","1100 - 17th Street, N.W., Suite 602","Washington","DC","20036"
"769","05/26/1953","Japan National Tourism Organization","","250 Park Avenue Suite. 1900","","New York ","NY","10177"
"634","07/25/1950","VisitDenmark","","655 Third Avenue","18th Floor, Suite 2010","New York","NY","10017"
